"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x138203134","x1240822573954412545",2020-03-20 02:08:49,"AOC","👀 https://t.co/l1jQnspP3B","Twitter for iPhone",1,,,,TRUE,FALSE,46101,5409,,,,,"twitter.com/acyn/status/12…","https://t.co/l1jQnspP3B","https://twitter.com/acyn/status/1240806440379371521",,,,,,,,,,,"und","x1240806440379371521","Tucker Carlson calls for Senator Burr to resign and await prosecution for insider trading if he cannot provide a reasonable explanation for his actions. He goes on to say it appears that Senator Burr betrayed his country in a time of crisis https://t.co/q7yJa5wjuA",2020-03-20 01:04:43,"Twitter for iPhone",80883,20909,"x16635277","Acyn","Acyn Torabi",29700,5951,95030,"Van Nuys, California","Internet Hooligan...",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240822573954412545","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240815356572205056",2020-03-20 01:40:08,"AOC","It is stomach-churning that the first thoughts these Senators had to a dire &amp; classified #COVID briefing was how to profit off this crisis.

They didn’t mobilize to help families, or prep response. They dumped stock.

Sen. Loeffler needs to resign, too. https://t.co/3lx1Bjt4be","Twitter for iPhone",281,,,,FALSE,FALSE,113628,33352,,,"COVID",,"thedailybeast.com/sen-kelly-loef…","https://t.co/3lx1Bjt4be","https://www.thedailybeast.com/sen-kelly-loeffler-dumped-millions-in-stock-after-coronavirus-briefing",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240815356572205056","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240759241847308293",2020-03-19 21:57:10,"AOC","As Intel chairman, @SenatorBurr got private briefings about Coronavirus weeks ago.

Burr knew how bad it would be. He told the truth to his wealthy donors, while assuring the public that we were fine.

THEN he sold off $1.6 million in stock before the fall.

He needs to resign. https://t.co/IAITMbJ3R5","Twitter for iPhone",278,,,,TRUE,FALSE,119291,38302,,,,,"twitter.com/robertfaturech…","https://t.co/IAITMbJ3R5","https://twitter.com/robertfaturechi/status/1240746141236359168",,,,,,,,,"x21157904","SenatorBurr","en","x1240746141236359168","NEW: After assuring the public about the government's coronavirus preparedness, Senate Intel chair Richard Burr, in one day, sold off up to $1.6 million is stock. 

A week later, the market began its fall. 

His committee was receiving daily briefings.

https://t.co/LlMDnKnYoQ",2020-03-19 21:05:06,"Twitter Web App",90020,53210,"x51916936","RobertFaturechi","Robert Faturechi",10181,1244,7222,"","Reporter @ProPublica 
robert.faturechi@propublica.org
Signal/WhatsApp: 213-271-7217",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240759241847308293","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240747534668136448",2020-03-19 21:10:38,"AOC","2/3 of NYC residents are renters.

Now that New York State has issued a MORTGAGE moratorium, we must also enact a RENT moratorium to prevent mass displacement.

Relief and protection from displacement shouldn’t just be for homeowners and the wealthy.

It should be for everyone.","Twitter for iPhone",278,,,,FALSE,FALSE,57670,11067,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240747534668136448","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240646674239930369",2020-03-19 14:29:51,"AOC","@JohnCondon611 Yes. Waiting period has been waived.","Twitter for iPhone",36,"x1240645992707391488","x1329710395","JohnCondon611",FALSE,FALSE,396,34,,,,,,,,,,,,,,,,"x1329710395","JohnCondon611","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240646674239930369","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240646422833266688",2020-03-19 14:28:51,"AOC","If your member is in touch w/ home, they are likely doing the same.

Having a Dem rep isn’t a “set it and forget it” thing. Don’t just say “oh, they’ll do the right thing.”

We NEED you to help us understand what you care about. 2 districts could have diff top 3 priorities. CALL.","Twitter for iPhone",280,"x1240645663504969731","x138203134","AOC",FALSE,FALSE,3249,556,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240646422833266688","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240645663504969731",2020-03-19 14:25:50,"AOC","Please know that these calls matter a LOT. I constantly monitor call topics **from constituents** so I can best prioritize what I’m working on for NY-14 in the flurry of legislation.

If I have two good priorities and need to triage them,I ask what constituents are calling about.","Twitter for iPhone",280,"x1240644734630203392","x138203134","AOC",FALSE,FALSE,3715,499,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240645663504969731","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240644734630203392",2020-03-19 14:22:09,"AOC","🚨 If you live in New York &amp; have an employer, you are now eligible for paid sick leave.

If you are a gig/contract worker: PLEASE CALL YOUR ELECTED OFFICIALS.

Ask them what they’re supporting to take care of you. If they don’t hear it, they may not know it’s a district concern. https://t.co/kZ8Dopl2v9","Twitter for iPhone",283,,,,TRUE,FALSE,32563,8985,,,,,"twitter.com/jessicaramos/s…","https://t.co/kZ8Dopl2v9","https://twitter.com/jessicaramos/status/1240328647703171075",,,,,,,,,,,"en","x1240328647703171075","Emergency paid sick leave has passed and is effective immediately. https://t.co/KitHxdaQ8R",2020-03-18 17:26:08,"Twitter for iPhone",5807,1114,"x26583978","jessicaramos","Jessica Ramos",19091,2368,12821,"Jackson Heights, Queens","New York State Senator proudly representing District 13, the most diverse in America. Chair of Senate Labor Committee. #SeenIn13 #13inAlbany #VamosRamos 🇨🇴",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240644734630203392","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240446071022784512",2020-03-19 01:12:44,"AOC","Here’s an illustrated summary of our #WeGotOurBlock mutual aid training made by supporter Becca!

If you’d like to listen to the audio of the call &amp; get our resource kit, you can still RSVP &amp; it’ll be emailed to you.

MAJOR thank you to @prisonculture for the incredible overview. https://t.co/FZEh1kgnge","Twitter for iPhone",288,,,,FALSE,FALSE,6546,1937,,,"WeGotOurBlock",,,,,"http://pbs.twimg.com/media/ETbzH_IWoAAk04H.jpg","https://t.co/FZEh1kgnge","https://twitter.com/AOC/status/1240446071022784512/photo/1","photo","http://pbs.twimg.com/media/ETbzH_IWoAAk04H.jpg","https://t.co/FZEh1kgnge","https://twitter.com/AOC/status/1240446071022784512/photo/1",,"x162436508","prisonculture","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240446071022784512","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
"x138203134","x1240417110851031046",2020-03-18 23:17:39,"AOC","#WeGotOurBlock ⬇️ https://t.co/hAswoOyiUt","Twitter for iPhone",17,,,,TRUE,FALSE,1541,228,,,"WeGotOurBlock",,"twitter.com/kalamendoza/st…","https://t.co/hAswoOyiUt","https://twitter.com/kalamendoza/status/1240416733476896772",,,,,,,,,,,"und","x1240416733476896772","“Mutual Aid is a way we can build networks in our backyard or our community to give aid and receive it if we need it. We can choose to share instead of hoard. We can choose to help instead of hurt.” - Congresswoman .@AOC",2020-03-18 23:16:09,"Twitter for iPhone",219,40,"x1938691","KalaMendoza","Kalaya'an Mendoza | ᜃᜎᜌᜀᜈ",2267,304,18795,"Occupied Lenape Territory  [New York City]","Queer Filipinx Hard of Hearing | He/Him/Siya | Co-Founder of Across Frontlines | Activist, Organizer, Facilitator & Nerd | In a constant state of decolonization",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AOC/status/1240417110851031046","Alexandria Ocasio-Cortez","Bronx + Queens, NYC","US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. 💯% People-Funded, no lobbyist💰. She/her.","https://t.co/BYjH4stRnI",FALSE,6583687,2228,16705,10067,21960,2010-04-28 22:38:40,TRUE,"https://t.co/BYjH4stRnI","http://www.Ocasio2018.com/",,"https://pbs.twimg.com/profile_banners/138203134/1511815660","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923274881197895680/AbHcStkl_normal.jpg"
