"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x435331179","x1261123680253480960",2020-05-15 02:38:10,"RashidaTlaib","We don't play in the 13th District. You go after our people, our workers, you will hear from us. 

Are we ready for a union yet @amazon workers? 

https://t.co/GFa09fMGOy","Twitter for Android",170,,,,FALSE,FALSE,1137,228,,,,,"newsweek.com/jeff-bezos-ama…","https://t.co/GFa09fMGOy","https://www.newsweek.com/jeff-bezos-amazon-worker-safety-coronavirus-reps-request-federal-probe-1503920",,,,,,,,,"x20793816","amazon","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1261123680253480960","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1261110528598040577",2020-05-15 01:45:54,"RashidaTlaib","40% of #COVID19 deaths in Michigan are African Americans. Join me Saturday @ 9PM ET with @CornelWest, @AyannaPressley, @marclamonthill, @iPhilSomething to speak truth!

REGISTER: https://t.co/DJ7pvXkUV2

We will be raising funds for @byp100, @DetroitAction, and other local orgs. https://t.co/D0gjB0dTr3","Twitter for Android",279,,,,FALSE,FALSE,174,64,,,"COVID19",,"bit.ly/rashida4detroit","https://t.co/DJ7pvXkUV2","http://bit.ly/rashida4detroit","http://pbs.twimg.com/media/EYBdVtUXQAA10Wb.jpg","https://t.co/D0gjB0dTr3","https://twitter.com/RashidaTlaib/status/1261110528598040577/photo/1","photo","http://pbs.twimg.com/media/EYBdVtUXQAA10Wb.jpg","https://t.co/D0gjB0dTr3","https://twitter.com/RashidaTlaib/status/1261110528598040577/photo/1",,"x36743910 x31013444 x20068679 x55080227 x1604954443 x1979654575","CornelWest AyannaPressley marclamonthill iPhilSomething byp100 DetroitAction","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1261110528598040577","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1261109345984614405",2020-05-15 01:41:13,"RashidaTlaib","Mom on duty. https://t.co/htIPLkdZBu","Twitter for Android",12,,,,TRUE,FALSE,1009,95,,,,,"twitter.com/RepKatiePorter…","https://t.co/htIPLkdZBu","https://twitter.com/RepKatiePorter/status/1261083360740413440",,,,,,,,,,,"en","x1261083360740413440","It's true: I wake up every day looking for someone to oversee.

But Congress still hasn't made full use of our institutional oversight mechanisms yet to get accountability during this pandemic. This is something I'll keep pushing on. https://t.co/abuwAV1Xk6",2020-05-14 23:57:57,"Twitter Web App",6562,975,"x1081222837459996672","RepKatiePorter","Rep. Katie Porter",456083,110,1267,"Irvine, CA and Washington, DC","Representative for #CA45. Minivan-driving single mom, law professor, & consumer protection attorney. Working families before special interests. Amateur surfer.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1261109345984614405","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1260995522736852997",2020-05-14 18:08:55,"RashidaTlaib","Unionize now! 

@JeffBezos will never do right by his workers, so it's time to organize a labor force he can't ignore. https://t.co/AM54t481Ce","Twitter for Android",118,,,,TRUE,FALSE,2614,604,,,,,"twitter.com/ewarren/status…","https://t.co/AM54t481Ce","https://twitter.com/ewarren/status/1260989946854285313",,,,,,,,,"x15506669","JeffBezos","en","x1260989946854285313","While Jeff Bezos is on track to become the world’s first trillionaire in the middle of a pandemic, Amazon is ending overtime pay for warehouse and delivery workers on the front lines. This is immoral. https://t.co/aeR4bCXVHi",2020-05-14 17:46:46,"Twitter Web App",56907,18627,"x357606935","ewarren","Elizabeth Warren",4165420,549,9668,"Massachusetts","U.S. Senator, former teacher. Wife, mom (Amelia, Alex, Bailey, @CFPB), grandmother, and Okie. She/her. Official campaign account.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1260995522736852997","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1260956036447506435",2020-05-14 15:32:01,"RashidaTlaib","""Let us speak without fear of retribution."" Dr. Bright https://t.co/MTy3lesuBX","Twitter for Android",54,,,,TRUE,FALSE,1562,418,,,,,"twitter.com/RepDebDingell/…","https://t.co/MTy3lesuBX","https://twitter.com/RepDebDingell/status/1260945083303702528",,,,,,,,,,,"en","x1260945083303702528","Public health, not partisan politics, must be what drives us forward. Public health professionals cannot do their job if they fear their recommendations will be ignored. Science must guide our actions. https://t.co/w3u0THGprl",2020-05-14 14:48:29,"Twitter for iPhone",791,210,"x2970279814","RepDebDingell","Rep. Debbie Dingell",92930,2647,4736,"Washington, DC","Proudly serving the people of Michigan's 12th Congressional District.
http://t.co/e7qwdRk0zg
http://t.co/q9q7Jj0s26",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1260956036447506435","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1260742998356381696",2020-05-14 01:25:28,"RashidaTlaib",".@JeffBezos: Just in case you were unaware, you just pissed off two Congresswomen from Mich &amp; we don't play. Your corp needs to focus on worker safety.  They deserve better than this.

P.S. They call @RepDebDingell &amp; I #doubletrouble. We don't back down. 

https://t.co/JXSanCeekt","Twitter Web App",288,,,,FALSE,FALSE,2040,497,,,"doubletrouble",,"detroitnews.com/story/news/loc…","https://t.co/JXSanCeekt","https://www.detroitnews.com/story/news/local/wayne-county/2020/05/13/tlaib-dingell-seek-federal-probe-amazon-site-conditions-amid-pandemic/5187057002/",,,,,,,,,"x15506669 x2970279814","JeffBezos RepDebDingell","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1260742998356381696","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1260318309997838338",2020-05-12 21:17:55,"RashidaTlaib","More than 80,000 of our loved ones died from #COVID19.

More than 1.3 million tested positive.

The worst unemployment crisis since the Great Depression.

What the hell are we waiting for? #MintTheCoin &amp; let's get people the #ABCAct:
1) $2k/month
2) #FirstResponderResourceCorp","Twitter for Android",281,,,,FALSE,FALSE,4676,1049,,,"COVID19 MintTheCoin ABCAct FirstResponderResourceCorp",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1260318309997838338","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1260316836601778177",2020-05-12 21:12:04,"RashidaTlaib","Water is a human right.
Water is a human right.
People are dying.

Let's support @RepDebDingell and my #WaterisaHumanRightAct in the next #COVID19 relief package.

@WeThePeopleDet
@policylink 
@SierraClub 
@michigansierra","Twitter for Android",221,,,,FALSE,FALSE,507,120,,,"WaterisaHumanRightAct COVID19",,,,,,,,,,,,,"x2970279814 x2651595991 x18142371 x34113439 x478704883","RepDebDingell WeThePeopleDet policylink SierraClub michigansierra","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1260316836601778177","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1260308551291019265",2020-05-12 20:39:08,"RashidaTlaib","With your help, we raised nearly $20,000 to help bailout mothers on Mother's Day 🌷. Join me in helping support the Michigan Black Mama's Bailout Coalition by chipping in today before the fundraiser ends. ⬇️

💵 https://t.co/EGfNlTndkf https://t.co/J4c2NMHPDY","Twitter for iPhone",233,,,,FALSE,FALSE,123,30,,,,,"bit.ly/RashidaBailout…","https://t.co/EGfNlTndkf","http://bit.ly/RashidaBailoutMamas","http://pbs.twimg.com/media/EX2D8lIWAAEiVPa.jpg","https://t.co/J4c2NMHPDY","https://twitter.com/RashidaTlaib/status/1260308551291019265/photo/1","photo","http://pbs.twimg.com/media/EX2D8lIWAAEiVPa.jpg","https://t.co/J4c2NMHPDY","https://twitter.com/RashidaTlaib/status/1260308551291019265/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1260308551291019265","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
"x435331179","x1260289936521080834",2020-05-12 19:25:10,"RashidaTlaib","This is a sad day for our district and the country. Aimee was courageous and a champion for equality. She will always be our hero. https://t.co/wNf9LncsKY","Twitter for Android",130,,,,TRUE,FALSE,581,92,,,,,"twitter.com/Arianedevogue/…","https://t.co/wNf9LncsKY","https://twitter.com/Arianedevogue/status/1260277451810365440",,,,,,,,,,,"en","x1260277451810365440","Just in: Aimee Stephens, the plaintiff behind the Supreme Court's  LGBT dispute, has died according to her lawyers. “Aimee did not set out to be a hero and a trailblazer, but she is one, and our country owes her a debt of gratitude,"" the ACLU's Chase Strangio said in a statement",2020-05-12 18:35:33,"Twitter Web App",808,214,"x119107959","Arianedevogue","Ariane de Vogue",14731,520,7562,"Washington, DC","Covering the Supreme Court and legal issues for @CNN and @CNNPolitics. Formerly at ABC",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RashidaTlaib/status/1260289936521080834","Rashida Tlaib","Detroit, MI","Unbossed Congresswoman for Michigan's #13districtstrong 

Mama working for justice, social worker at heart, Detroiter, Palestinian American, proud Muslima.","https://t.co/1CZT2Ssohc",FALSE,978282,2596,3579,13894,13202,2011-12-12 23:07:37,TRUE,"https://t.co/1CZT2Ssohc","http://RashidaForCongress.com",,"https://pbs.twimg.com/profile_banners/435331179/1556160560","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1016708025418240001/HC2KSgAT_normal.jpg"
